,season,team,position,player_id
321,2024,DEN,DL,00-0033297
322,2024,LA,OL,00-0033300
323,2024,CHI,DB,00-0033302
324,2024,KC,K,00-0033303
325,2024,NE,WR,00-0033307
326,2024,SF,RB,00-0033308
327,2024,MIN,QB,00-0033319
328,2024,CHI,OL,00-0033326
329,2024,GB,LB,00-0033336
330,2024,BAL,DL,00-0033347
331,2024,NO,TE,00-0033357
332,2024,DET,WR,00-0033375
333,2024,BAL,RB,00-0033376
334,2024,LV,DL,00-0033381
335,2024,CAR,TE,00-0033387
336,2024,IND,DB,00-0033393
337,2024,JAX,P,00-0033400
338,2024,SEA,TE,00-0033439
339,2024,BUF,LB,00-0033445
340,2024,KC,TE,00-0033455
341,2024,PHI,WR,00-0033460
342,2024,NE,LB,00-0033461
343,2024,DAL,DL,00-0033463
344,2024,NYG,WR,00-0033466
345,2024,BAL,DB,00-0033503
346,2024,CLE,OL,00-0033505
347,2024,MIA,OL,00-0033511
348,2024,PIT,DB,00-0033512
349,2024,WAS,DL,00-0033523
350,2024,ATL,DB,00-0033524
351,2024,KC,RB,00-0033526
352,2024,PIT,WR,00-0033536
353,2024,CLE,QB,00-0033537
354,2024,DEN,OL,00-0033538
355,2024,NYJ,DL,00-0033540
356,2024,CLE,DL,00-0033546
357,2024,DEN,LB,00-0033547
358,2024,TEN,DB,00-0033548
359,2024,MIA,LB,00-0033549
360,2024,BUF,DB,00-0033551
361,2024,ARI,RB,00-0033553
362,2024,BUF,WR,00-0033555
363,2024,NYJ,RB,00-0033556
364,2024,DET,LB,00-0033557
365,2024,ATL,OL,00-0033560
366,2024,DAL,DL,00-0033563
367,2024,BAL,DB,00-0033566
368,2024,MIA,LB,00-0033570
369,2024,BUF,LB,00-0033571
370,2024,PIT,WR,00-0033572
371,2024,SF,TE,00-0033576
372,2024,CAR,DB,00-0033579
373,2024,JAX,DL,00-0033582
374,2024,CAR,WR,00-0033589
375,2024,WAS,WR,00-0033591
376,2024,DET,DL,00-0033595
377,2024,BUF,DL,00-0033598
378,2024,DAL,QB,00-0033662
379,2024,ATL,OL,00-0033676
380,2024,WAS,DB,00-0033697
381,2024,WAS,RB,00-0033699
382,2024,ATL,K,00-0033702
383,2024,MIN,LB,00-0033716
384,2024,PIT,P,00-0033729
385,2024,SF,DL,00-0033746
386,2024,ATL,OL,00-0033752
387,2024,MIN,TE,00-0033757
388,2024,TEN,DB,00-0033770
389,2024,CHI,DL,00-0033782
390,2024,LA,DB,00-0033783
391,2024,BAL,DB,00-0033784
392,2024,PHI,K,00-0033787
393,2024,CAR,DB,00-0033792
394,2024,TEN,OL,00-0033793
395,2024,WAS,OL,00-0033831
396,2024,HOU,RB,00-0033854
397,2024,KC,WR,00-0033857
398,2024,MIA,TE,00-0033858
399,2024,NE,DL,00-0033860
400,2024,WAS,K,00-0033862
401,2024,DET,OL,00-0033863
402,2024,CLE,DL,00-0033868
403,2024,BUF,QB,00-0033869
404,2024,NYJ,DL,00-0033870
405,2024,DET,DB,00-0033872
406,2024,KC,QB,00-0033873
407,2024,WAS,DB,00-0033874
408,2024,NYJ,LB,00-0033875
409,2024,HOU,DL,00-0033876
410,2024,DAL,DB,00-0033877
411,2024,NYG,DB,00-0033878
412,2024,PHI,DL,00-0033880
413,2024,JAX,TE,00-0033881
414,2024,NE,DB,00-0033883
415,2024,BAL,DB,00-0033884
416,2024,CLE,TE,00-0033885
417,2024,PIT,LB,00-0033886
418,2024,NO,OL,00-0033888
419,2024,MIN,OL,00-0033889
420,2024,ARI,DB,00-0033890
421,2024,ARI,WR,00-0033891
422,2024,LAC,DB,00-0033892
423,2024,DAL,RB,00-0033893
424,2024,BAL,DB,00-0033894
425,2024,CHI,TE,00-0033895
426,2024,HOU,RB,00-0033897
427,2024,CLE,OL,00-0033901
428,2024,NO,DL,00-0033902
429,2024,BUF,OL,00-0033904
430,2024,PIT,DL,00-0033905
431,2024,NO,RB,00-0033906
432,2024,BUF,DL,00-0033907
433,2024,LA,WR,00-0033908
434,2024,MIN,OL,00-0033910
435,2024,BAL,DL,00-0033913
436,2024,DET,LB,00-0033914
437,2024,MIN,DB,00-0033918
438,2024,IND,DL,00-0033920
439,2024,TB,WR,00-0033921
440,2024,KC,RB,00-0033923
441,2024,CLE,RB,00-0033925
442,2024,MIN,DB,00-0033926
443,2024,LA,DB,00-0033927
444,2024,DAL,DB,00-0033928
445,2024,PIT,DL,00-0033929
446,2024,PIT,DB,00-0033930
447,2024,CIN,DL,00-0033935
448,2024,JAX,QB,00-0033936
449,2024,SEA,DB,00-0033941
450,2024,JAX,WR,00-0033943
451,2024,IND,DL,00-0033945
452,2024,HOU,OL,00-0033946
453,2024,NE,DL,00-0033947
454,2024,NO,RB,00-0033948
455,2024,SF,QB,00-0033949
456,2024,IND,DL,00-0033952
457,2024,WAS,RB,00-0033955
458,2024,ATL,QB,00-0033958
459,2024,NYJ,DL,00-0033963
460,2024,DET,DL,00-0033964
461,2024,CLE,OL,00-0033995
